Athlete Name,Nouns,Values,Adjectives,Sponsor,IG Followers,Practiced Sport,Nationality,Core Audience,Net Worth (Estimated),Age,Agent,Sports Sponsors
Kei Nishikori,"Tennis, Player, Japanese","Skill, Consistency, Athleticism","Dominant, Inspirational, Respected","Asahi Group Holdings, Jaccs, Jaguar, Japan Airlines, Nike, Nippon Telegraph & Tel, Nissin Foods Holdings, Uber, Uniqlo, Wilson Sporting Goods",2.4M,Tennis,Japanese,"Tennis fans, sports enthusiasts",$100 million (approx.),34.0,Olivier van Lindonk,"Nike, Uniqlo, Wilson Sporting Goods"
Kemba Walker,"NBA, Point Guard, American","Scoring, Athleticism, Leadership","Exciting, Inspirational, Respected","BodyArmor, JBL, Nike, Rastaclat",4.1M,Basketball,American,"NBA fans, sports enthusiasts",$100 million (approx.),34.0,Jeff Schwartz,Nike
Kevin Durant,"NBA, Forward, American","Skill, Athleticism, Versatility","Dominant, Iconic, Inspirational","2K Sports, Fanatics, FanDuel, Nike",19.5M,Basketball,American,"NBA fans, sports enthusiasts",$200 million (approx.),36.0,Rich Kleiman,"Nike, Fanatics"
Kevin Garnett,"NBA, Power Forward/Center, American","Versatility, Leadership, Defense","Dominant, Iconic, Inspirational","Anta Sports Products, Zico",6.6M,Basketball,American,"NBA fans, sports enthusiasts",$200 million (approx.),48.0,Unknown,-1
Kevin Love,"NBA, Power Forward, American","Rebounding, Shooting, Versatility","Reliable, Respected, Productive","Lowe's, Nike, Old Spice, Panini, Upper Deck",4.1M,Basketball,American,"NBA fans, sports enthusiasts",$100 million (approx.),36.0,Jeff Schwartz,Nike
Khalil Mack,"NFL, Linebacker, American","Speed, Athleticism, Versatility","Dominant, Reliable, Respected","Mack Trucks, New Era, Nike",4.1M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),33.0,Joel Segal,"Nike, New Era"
Khris Middleton,"NBA, Small Forward, American","Shooting, Versatility, Leadership","Reliable, Respected, Productive","AT&T, Nike, Nintendo, Panini, T-Mobile",4.1M,Basketball,American,"NBA fans, sports enthusiasts",$100 million (approx.),33.0,Michael Lindeman,Nike
Kimi Raikkonen,"Formula 1, Driver, Finnish","Speed, Skill, Strategy","Dominant, Iconic, Charismatic","Wrangler, Oakley",3.2M,Formula 1,Finnish,"Formula 1 fans, racing enthusiasts",$200 million (approx.),45.0,Unknown,-1
Kirk Cousins,"NFL, Quarterback, American","Arm Strength, Accuracy, Leadership","Reliable, Respected, Productive","Adidas, Fanatics, Frito-Lay, Mercedes-Benz, Panini, Truist, Verizon",2.4M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),36.0,"Michael McCartney, Alan Zucker","Adidas, Fanatics, Mercedes-Benz"
Klay Thompson,"NBA, Shooting Guard, American","Shooting, Athleticism, Versatility","Dominant, Iconic, Inspirational","Activision Blizzard, Anheuser-Busch InBev, Anta Sports Products, Block Inc, Dapper Labs, Fanatics, Kaiser Permanente, Mercedes-Benz, Subway, Tissot, Waiakea Water, Waymo",12.9M,Basketball,American,"NBA fans, sports enthusiasts",$200 million (approx.),34.0,Greg Lawrence,"Fanatics, Mercedes-Benz"
Kobe Bryant,"NBA, Shooting Guard, American","Scoring, Athleticism, Leadership","Legendary, Iconic, Inspirational","Hublot, Nike, Panini",20.5M,Basketball,American,"NBA fans, sports enthusiasts",$600 million (approx.),46.0,Unknown,Nike
Kristaps Porzingis,"NBA, Power Forward/Center, Latvian","Skill, Shooting, Athleticism","Dominant, Exciting, Inspirational",Adidas,12.9M,Basketball,Latvian,"NBA fans, sports enthusiasts",$200 million (approx.),29.0,Janis Porzingis,Adidas
Kyle Lowry,"NBA, Point Guard, Canadian","Leadership, Versatility, Clutch","Reliable, Respected, Productive","Adidas, AXE, Sony",4.1M,Basketball,Canadian,"NBA fans, sports enthusiasts",$100 million (approx.),38.0,Mark Bartelstein,Adidas
Kylian Mbappe,"Soccer, Forward, French","Speed, Athleticism, Finishing","Dominant, Iconic, Inspirational","Accor, Electronic Arts, Hublot, Nike, Oakley, Panini, Sorare",82.9M,Soccer,French,"Soccer fans, sports enthusiasts, casual followers",$200 million (approx.),25.0,Wilfried Mbappe,Nike
Kyrie Irving,"NBA, Point Guard, American","Skill, Creativity, Controversial","Exciting, Unpredictable, Inspirational","Nike, Panini",12.6M,Basketball,American,"NBA fans, sports enthusiasts",$100 million (approx.),32.0,Jay-Z,Nike
LaMarcus Aldridge,"NBA, Power Forward, American","Scoring, Rebounding, Defense","Versatile, Reliable, Respected","Panini, H-E-B, Nike",5.5M,Basketball,American,"NBA fans, sports enthusiasts",$100 million (approx.),39.0,Jeff Schwartz,Nike
LaMarr Woodley,"NFL, Linebacker, American","Speed, Athleticism, Versatility","Dominant, Reliable, Respected","Nike, Verizon Wireless",1.3M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),39.0,Unknown,Nike
Lance Armstrong,"Cycling, Cyclist, American","Endurance, Mental Toughness, Controversy","Legendary, Inspirational, Controversial",Nike,6.4M,Cycling,American,"Cycling fans, sports enthusiasts",$100 million (approx.),53.0,Unknown,Nike
Larry Fitzgerald,"NFL, Wide Receiver, American","Speed, Strength, Catching","Dominant, Iconic, Respected","EAS, Lenovo, Lenovo Group, Nike, Nokia",4.2M,American Football,American,"NFL fans, sports enthusiasts",$200 million (approx.),41.0,"Roosevelt Barnes, Eugene Parker",Nike
Lawrence Timmons,"NFL, Linebacker, American","Speed, Athleticism, Versatility","Dominant, Reliable, Respected",Nike,2.4M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),38.0,Unknown,Nike
LeBron James,"NBA, Forward, American","Athleticism, Leadership, Versatility","Dominant, Iconic, Philanthropic","Beats Electronics, DraftKings, Fanatics, LVMH Moët Hennessy Louis Vuitton, Nike, PepsiCo, Taco Bell",129M,Basketball,American,"Basketball fans, sports enthusiasts, casual followers",$1 billion (approx.),39.0,"Rich Paul, Josh Pyatt, Brad Slater","Nike, Fanatics"
LeSean McCoy,"NFL, Running Back, American","Speed, Power, Elusive","Dominant, Inspirational, Resilient",Nike,5.5M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),36.0,Unknown,Nike
LeBron James,"NBA, Forward, American","Athleticism, Leadership, Versatility","Dominant, Iconic, Philanthropic","Beats Electronics, DraftKings, Fanatics, LVMH Moët Hennessy Louis Vuitton, Nike, PepsiCo, Taco Bell",129M,Basketball,American,"Basketball fans, sports enthusiasts, casual followers",$1 billion (approx.),39.0,"Rich Paul, Josh Pyatt, Brad Slater","Nike, Fanatics"
Leonard Williams,"NFL, Defensive Tackle, American","Strength, Power, Versatility","Dominant, Reliable, Respected",Nike,1.3M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),30.0,Unknown,Nike
Lewis Hamilton,"Formula 1, Driver, British","Speed, Skill, Strategy","Dominant, Iconic, Charismatic","Bose, Electronic Arts, Mercedes-Benz, Monster Energy, RIMOWA",57.9M,Formula 1,British,"Formula 1 fans, racing enthusiasts",$300 million (approx.),39.0,Unknown,"Mercedes-Benz, Monster Energy"
Li Na,"Tennis, Player, Chinese","Skill, Power, Determination","Dominant, Iconic, Inspirational","Mercedes-Benz, Nike, Rolex, Samsung Electronics",2.4M,Tennis,Chinese,"Tennis fans, sports enthusiasts",$100 million (approx.),42.0,Max Eisenbud,"Nike, Mercedes-Benz"
Lionel Messi,"Soccer, Forward, Argentine","Dribbling, Passing, Goalscoring","Magical, Creative, Humble","Adidas, Anheuser-Busch InBev, Apple, Bitget, Cirque du Soleil, Gatorade, Hard Rock Cafe Inc., Konami, Lowe's, Mastercard, PepsiCo, Royal Caribbean Group",470M,Soccer,Argentine,"Soccer fans, sports enthusiasts, casual followers",$1 billion (approx.),37.0,Jorge Horacio Messi,Adidas
Logan Mankins,"NFL, Offensive Guard, American","Strength, Technique, Versatility","Reliable, Respected, Productive",Nike,1.3M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),42.0,Frank Bauer,Nike
Luis Suarez,"Soccer, Forward, Uruguayan","Finishing, Technique, Leadership","Clinical, Elegant, Inspirational","Adidas, Gatorade",24.1M,Soccer,Uruguayan,"Soccer fans, sports enthusiasts, casual followers",$100 million (approx.),37.0,Pere Guardiola,Adidas
Luke Donald,"Golf, Golfer, English","Skill, Consistency, Charisma","Elegant, Inspirational, Popular","FootJoy, Ralph Lauren, RBC, Rolex, RBC, Titleist",1.3M,Golf,English,"Golf fans, sports enthusiasts",$100 million (approx.),46.0,Steve Loy,Ralph Lauren
Luke Kuechly,"NFL, Linebacker, American","Speed, Athleticism, Football IQ","Dominant, Inspirational, Respected","Nike, PepsiCo",3.2M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),33.0,Tom Condon,Nike
Mahendra Singh Dhoni,"Cricket, Batsman/Wicketkeeper, Indian","Skill, Leadership, Consistency","Legendary, Iconic, Respected","PepsiCo, Reebok",48.7M,Cricket,Indian,"Cricket fans, sports enthusiasts",$200 million (approx.),43.0,Arun Pandey,Reebok
Manny Machado,"MLB, Third Baseman/Outfielder, Dominican Republic","Power, Athleticism, Versatility","Exciting, Productive, Popular","Nike, Rawlings",4.1M,Baseball,Dominican Republic,"Baseball fans, sports enthusiasts",$200 million (approx.),32.0,Dan Lozano,Nike
Manny Pacquiao,"Boxing, Boxer, Filipino","Power, Speed, Versatility","Legendary, Inspirational, Philanthropic",Nike,24.1M,Boxing,Filipino,"Boxing fans, sports enthusiasts, casual followers",$200 million (approx.),45.0,Unknown,Nike
Marc Gasol,"NBA, Center, Spanish","Skill, Versatility, Leadership","Reliable, Respected, Productive","Nike, San Miguel",1.2M,Basketball,Spanish,"NBA fans, sports enthusiasts",$100 million (approx.),39.0,Steven Heumann,Nike
Marcell Dareus,"NFL, Defensive Tackle, American","Strength, Power, Disruption","Dominant, Reliable, Respected",Under Armour,1.3M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),34.0,Todd France,Under Armour
Marcus Mariota,"NFL, Quarterback, American","Arm Strength, Accuracy, Mobility","Talented, Exciting, Inspirational","Beats Electronics, First Hawaiian, Nike, Nissan Motor",5.3M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),30.0,"Ryan Tollner, Alan Zucker","Nike, Nissan Motor"
Maria Sharapova,"Tennis, Player, Russian","Power, Baseline Game, Mental Toughness","Dominant, Iconic, Inspirational","Avon Products, Evian, Head, NetJets, Nike, Porsche Automobil Holding",15.4M,Tennis,Russian,"Tennis fans, sports enthusiasts",$200 million (approx.),37.0,Max Eisenbud,"Nike, Porsche Automobil Holding"
Mario Williams,"NFL, Defensive End, American","Strength, Power, Versatility","Dominant, Reliable, Respected",Nike,2.4M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),39.0,Unknown,Nike
Mark Sanchez,"NFL, Quarterback, American","Arm Strength, Accuracy, Mobility","Talented, Exciting, Controversial",PepsiCo,3.2M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),37.0,Unknown,-1
Mark Teixeira,"MLB, First Baseman, American","Power, Hitting, Versatility","Consistent, Reliable, Respected","Nike, Rawlings",1.3M,Baseball,American,"Baseball fans, sports enthusiasts",$100 million (approx.),44.0,Unknown,Nike
Marlon Humphrey,"NFL, Cornerback, American","Speed, Athleticism, Versatility","Dominant, Reliable, Respected",Nike,2.4M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),28.0,Unknown,Nike
Masahiro Tanaka,"MLB, Pitcher, Japanese","Stuff, Movement, Consistency","Dominant, Reliable, Respected",Nike,1.4M,Baseball,Japanese,"Baseball fans, sports enthusiasts",$100 million (approx.),35.0,Casey Close,Nike
Matt Cain,"MLB, Pitcher, American","Stuff, Movement, Consistency","Reliable, Respected, Productive","Topps, Mizuno, Audi",1.4M,Baseball,American,"Baseball fans, sports enthusiasts",$50 million (approx.),40.0,"Jimmy Sexton, Rick Landrum","Mizuno, Audi"
Matt Holliday,"MLB, Outfielder, American","Power, Hitting, Versatility","Consistent, Reliable, Respected",Nike,1.3M,Baseball,American,"Baseball fans, sports enthusiasts",$100 million (approx.),44.0,Unknown,Nike
Matt Judon,"NFL, Linebacker, American","Speed, Power, Versatility","Dominant, Reliable, Respected",Nike,2.4M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),32.0,Unknown,Nike
Matt Kalil,"NFL, Offensive Tackle, American","Strength, Technique, Versatility","Reliable, Respected, Productive",Nike,1.3M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),35.0,R.J. Gonser,Nike
Matt Kemp,"MLB, Outfielder, American","Power, Athleticism, Versatility","Exciting, Productive, Popular","Nike, Rawlings",1.3M,Baseball,American,"Baseball fans, sports enthusiasts",$100 million (approx.),40.0,Larry Reynolds,Nike
Matt Ryan,"NFL, Quarterback, American","Arm Strength, Accuracy, Leadership","Reliable, Respected, Productive","Delta Air Lines, Dick's Sporting Goods, Gatorade, Mercedes-Benz, Procter & Gamble, Southern Company, Truist",5.3M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),39.0,"Tom Condon, Alan Zucker",Mercedes-Benz
Matt Schaub,"NFL, Quarterback, American","Arm Strength, Accuracy, Leadership","Experienced, Reliable, Respected","Nike, Verizon",1.3M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),43.0,Joby Branion,Nike
Matthew Stafford,"NFL, Quarterback, American","Arm Strength, Accuracy, Mobility","Talented, Exciting, Inspirational","AT&T, Fanatics, Panini, The Walt Disney Company",5.3M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),36.0,"Tom Condon, Ira Stahlberger",Fanatics
Maurkice Pouncey,"NFL, Center, American","Strength, Technique, Leadership","Dominant, Reliable, Respected",Nike,1.3M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),35.0,Joel Segal,Nike
Max Scherzer,"MLB, Pitcher, American","Stuff, Movement, Competitiveness","Dominant, Iconic, Inspirational","Fanatics, Nike, Topps",2.4M,Baseball,American,"Baseball fans, sports enthusiasts",$200 million (approx.),40.0,Scott Boras,"Nike, Fanatics"
Max Verstappen,"Formula 1, Driver, Dutch","Speed, Skill, Strategy","Dominant, Iconic, Charismatic","Electronic Arts, Heineken N.V.",12.9M,Formula 1,Dutch,"Formula 1 fans, racing enthusiasts",$200 million (approx.),27.0,Unknown,-1
Melvin Ingram,"NFL, Defensive End, American","Strength, Power, Versatility","Dominant, Reliable, Respected","Panini, Nike",2.4M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),35.0,Jay-Z,Nike
Mesut Ozil,"Soccer, Midfielder, German","Skill, Technique, Creativity","Elegant, Inspirational, Respected","Adidas, Beats Electronics, Mercedes-Benz",24.1M,Soccer,German,"Soccer fans, sports enthusiasts, casual followers",$100 million (approx.),36.0,Erkut Sogut,"Adidas, Mercedes-Benz"
Michael Redd,"NBA, Shooting Guard, American","Scoring, Athleticism, Versatility","Exciting, Productive, Popular",Nike,1.3M,Basketball,American,"NBA fans, sports enthusiasts",$50 million (approx.),45.0,Unknown,Nike
Michael Schumacher,"Formula 1, Driver, German","Speed, Skill, Strategy","Legendary, Dominant, Iconic","Audemars Piguet, DVAG, Navy Boot",9.4M,Formula 1,German,"Formula 1 fans, racing enthusiasts",$1 billion (approx.),55.0,Unknown,-1
Michael Thomas,"NFL, Wide Receiver, American","Catching, Athleticism, Versatility","Dominant, Exciting, Popular","Nike, PepsiCo",4.1M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),31.0,"David Mulugheta, Andrew Kessler",Nike
Michael Vick,"NFL, Quarterback, American","Speed, Agility, Playmaking","Exciting, Controversial, Inspirational","MusclePharm, Nike",3.2M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),44.0,Unknown,Nike
Michael Young,"MLB, Third Baseman, American","Hitting, Versatility, Leadership","Consistent, Reliable, Respected",Nike,1.3M,Baseball,American,"Baseball fans, sports enthusiasts",$100 million (approx.),48.0,Unknown,Nike
Miguel Cabrera,"MLB, Third Baseman, Venezuelan","Power, Hitting, Versatility","Dominant, Iconic, Inspirational","Adidas, Franklin Sports, Panini, Topps, Wilson Sporting Goods",4.1M,Baseball,Venezuelan,"Baseball fans, sports enthusiasts",$300 million (approx.),41.0,Fernando Cuza,"Adidas, Wilson Sporting Goods, Franklin Sports"
Miguel Cotto,"Boxing, Boxer, Puerto Rican","Power, Skill, Technique","Dominant, Inspirational, Respected",Nike,2.4M,Boxing,Puerto Rican,"Boxing fans, sports enthusiasts",$100 million (approx.),43.0,Unknown,Nike
Mike Conley,"NBA, Point Guard, American","Skill, Leadership, Versatility","Reliable, Respected, Productive","Converse, Toyota Motor, Vivint Smart Home",4.1M,Basketball,American,"NBA fans, sports enthusiasts",$100 million (approx.),37.0,"Mike Conley, Sr.",Converse
Mike Trout,"MLB, Outfielder, American","Power, Hitting, Athleticism","Dominant, Iconic, Inspirational","BodyArmor, J&J Snack Foods, Nike, Rawlings, Topps",4.1M,Baseball,American,"Baseball fans, sports enthusiasts",$300 million (approx.),33.0,Craig Landis,Nike
Mohamed Salah,"Soccer, Forward, Egyptian","Speed, Dribbling, Finishing","Dominant, Iconic, Inspirational","Adidas, Pepsi, Vodafone",64.1M,Soccer,Egyptian,"Soccer fans, sports enthusiasts, casual followers",$100 million (approx.),32.0,Ramy Abbas Issa,Adidas
Muhammad Wilkerson,"NFL, Defensive End, American","Strength, Power, Disruption","Dominant, Reliable, Respected","Panini, Under Armour, Verizon",1.3M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),35.0,Chad Wiestling,Under Armour
Myles Garrett,"NFL, Defensive End, American","Strength, Power, Versatility","Dominant, Exciting, Popular",Nike,4.1M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),28.0,Unknown,Nike
Naomi Osaka,"Tennis, Player, Japanese-American","Power, Athleticism, Mental Toughness","Dominant, Iconic, Inspirational","Autograph, Beats by Dre, Etsy, Hyperice, LVMH Moët Hennessy Louis Vuitton, Meta, Modern Health, Morinaga & Company, Nike, Panasonic, Tag Heuer, Wowow Inc, Yonex, Zico",7.6M,Tennis,Japanese-American,"Tennis fans, sports enthusiasts",$200 million (approx.),27.0,Unknown,Nike
Nate Solder,"NFL, Offensive Tackle, American","Strength, Technique, Versatility","Reliable, Respected, Productive",Nike,1.3M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),36.0,David Dunn,Nike
Ndamukong Suh,"NFL, Defensive Tackle, American","Strength, Power, Disruption","Dominant, Controversial, Respected",Nike,1.3M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),37.0,Unknown,Nike
Neymar,"Soccer, Forward, Brazilian","Skill, Dribbling, Finishing","Dominant, Iconic, Controversial","Blaze, Epic Games, Flutter Entertainment, Konami, Mondelez International, Puma, Red Bull, Skims",189M,Soccer,Brazilian,"Soccer fans, sports enthusiasts, casual followers",$200 million (approx.),32.0,"Neymar Santos, Sr.","Puma, Red Bull"
Nick Bosa,"NFL, Defensive End, American","Strength, Power, Disruption","Dominant, Reliable, Respected","Bath and Body Works, Celsius Holdings, Panini, Skims",4.1M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),27.0,Brian Ayrault,-1
Nick Foles,"NFL, Quarterback, American","Arm Strength, Accuracy, Leadership","Experienced, Clutch, Popular","Bulletproof, Fanatics, Lululemon",2.4M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),35.0,Justin Schulman,Fanatics
Nick Perry,"NFL, Defensive End, American","Strength, Power, Versatility","Dominant, Reliable, Respected",Nike,1.3M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),34.0,Joe Panos,Nike
Nico Rosberg,"Formula 1, Driver, German","Speed, Skill, Strategy","Dominant, Iconic, Charismatic",Mercedes-AMG Petronas Motorsport,12.9M,Formula 1,German,"Formula 1 fans, racing enthusiasts",$200 million (approx.),39.0,Unknown,-1
Nicolas Batum,"NBA, Forward, French","Versatility, Athleticism, Leadership","Reliable, Respected, Productive",Nike,4.1M,Basketball,French,"NBA fans, sports enthusiasts",$100 million (approx.),35.0,Bouna Ndiaye,Nike
Nikola Jokic,"NBA, Center, Serbian","Skill, Vision, Versatility","Dominant, Unique, Inspirational","Expedia Group, Panini",10.6M,Basketball,Serbian,"NBA fans, sports enthusiasts",$100 million (approx.),29.0,Jeff Schwartz,-1
Novak Djokovic,"Tennis, Player, Serbian","Skill, Consistency, Mental Toughness","Dominant, Iconic, Inspirational","Asics, Head, Hublot, Lacoste, Raiffeisen Bank International",20.8M,Tennis,Serbian,"Tennis fans, sports enthusiasts",$200 million (approx.),37.0,Edoardo Artaldi,Asics
Odell Beckham Jr,"NFL, Wide Receiver, American","Speed, Agility, Catching","Explosive, Showman, Controversial","Nike, United Sports Brands",12.7M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),31.0,Zeke Sandhu,Nike
Olivier Vernon,"NFL, Defensive End, American","Strength, Power, Versatility","Dominant, Reliable, Respected",Under Armour,1.3M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),34.0,David Canter,Under Armour
Oscar,"Soccer, Midfielder, Mexican","Skill, Technique, Versatility","Creative, Exciting, Popular",Adidas,24.1M,Soccer,Mexican,"Soccer fans, sports enthusiasts, casual followers",$100 million (approx.),33.0,Giuliano Bertolucci,Adidas
Otto Porter Jr,"NBA, Forward, American","Shooting, Versatility, Defense","Reliable, Respected, Productive",Nike,1.2M,Basketball,American,"NBA fans, sports enthusiasts",$50 million (approx.),31.0,David Falk,Nike
Patrick Mahomes,"NFL, Quarterback, American","Arm Strength, Accuracy, Mobility","Talented, Exciting, Inspirational","Adidas, Airshare, CommunityAmerica Credit Union, DraftKings, Hugo Boss, Hy-Vee, Molson Coors, Nestlé, Oakley, Procter & Gamble, State Farm Mutual Auto Insurance, Subway, T-Mobile, The Walt Disney Company, Whoop",13.9M,American Football,American,"NFL fans, sports enthusiasts",$200 million (approx.),29.0,Chris Cabott,Adidas
Pau Gasol,"NBA, Center, Spanish","Skill, Versatility, Leadership","Reliable, Respected, Productive","Banco Popular Espanol, Nike, San Miguel",2.4M,Basketball,Spanish,"NBA fans, sports enthusiasts",$100 million (approx.),44.0,Unknown,Nike
Paul George,"NBA, Forward, American","Scoring, Athleticism, Versatility","Dominant, Iconic, Inspirational","AT&T, Bacardi, Nike, Panini, Therabody",12.7M,Basketball,American,"NBA fans, sports enthusiasts",$200 million (approx.),34.0,Aaron Mintz,Nike
Paul Millsap,"NBA, Power Forward, American","Versatility, Defense, Leadership","Reliable, Respected, Productive","Nike, Panini",2.4M,Basketball,American,"NBA fans, sports enthusiasts",$100 million (approx.),39.0,DeAngelo Simmons,Nike
Paul Pierce,"NBA, Forward, American","Scoring, Versatility, Leadership","Dominant, Iconic, Respected",Nike,5.5M,Basketball,American,"NBA fans, sports enthusiasts",$200 million (approx.),46.0,Unknown,Nike
Paul Pogba,"Soccer, Midfielder, French","Skill, Technique, Athleticism","Exciting, Creative, Popular","Adidas, PepsiCo",24.1M,Soccer,French,"Soccer fans, sports enthusiasts, casual followers",$100 million (approx.),31.0,Mino Raiola,Adidas
Peyton Manning,"NFL, Quarterback, American","Arm Strength, Accuracy, Leadership","Legendary, Iconic, Respected","Buick, DIRECTV Group Inc., Fanatics, Gatorade, Nationwide Mutual Insurance, Nike, Papa John's International",10.6M,American Football,American,"NFL fans, sports enthusiasts",$200 million (approx.),48.0,Unknown,"Nike, Fanatics"
Phil Mickelson,"Golf, Golfer, American","Skill, Consistency, Charisma","Dominant, Iconic, Inspirational",Nike,3.2M,Golf,American,"Golf fans, sports enthusiasts",$200 million (approx.),54.0,Steve Loy,Nike
Philip Rivers,"NFL, Quarterback, American","Arm Strength, Accuracy, Leadership","Experienced, Clutch, Popular",AdvoCare,2.4M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),42.0,"Jim Denton, Jimmy Sexton",-1
Prince Fielder,"MLB, First Baseman, American","Power, Hitting, Versatility","Consistent, Reliable, Productive",Nike,1.3M,Baseball,American,"Baseball fans, sports enthusiasts",$100 million (approx.),40.0,Unknown,Nike
Quinnen Williams,"NFL, Defensive Tackle, American","Strength, Power, Versatility","Dominant, Reliable, Respected",Nike,4.1M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),26.0,Nicole Lynn,Nike
Radamel Falcao,"Soccer, Forward, Colombian","Finishing, Heading, Strength","Clinical, Physical, Inspirational","Panini, Gatorade, Puma, Gillette, Samsung Electronics",24.1M,Soccer,Colombian,"Soccer fans, sports enthusiasts, casual followers",$100 million (approx.),38.0,Jorge Mendes,Puma
Rafael Nadal,"Tennis, Player, Spanish","Skill, Consistency, Mental Toughness","Dominant, Iconic, Inspirational","Babolat, Cantabria Labs, Heineken N.V., Infosys, KIA, LVMH, Nike, Richard Mille, Santander, Subway, Telefónica",19.5M,Tennis,Spanish,"Tennis fans, sports enthusiasts",$200 million (approx.),38.0,Carlos Costa,Nike
Rashard Lewis,"NBA, Forward, American","Shooting, Versatility, Athleticism","Exciting, Productive, Popular",Nike,1.3M,Basketball,American,"NBA fans, sports enthusiasts",$100 million (approx.),45.0,Tony Dutt,Nike
Ray Rice,"NFL, Running Back, American","Speed, Power, Elusive","Dominant, Inspirational, Controversial","Nike, Verizon",1.3M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),37.0,Todd France,Nike
Richard Seymour,"NFL, Defensive End, American","Strength, Power, Versatility","Dominant, Iconic, Respected",Nike,1.3M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),45.0,Unknown,Nike
Robert Lewandowski,"Soccer, Forward, Polish","Finishing, Heading, Versatility","Dominant, Clinical, Inspirational","Huawei, Nike, Procter & Gamble",57.9M,Soccer,Polish,"Soccer fans, sports enthusiasts, casual followers",$150 million (approx.),36.0,Unknown,Nike
Robert Mathis,"NFL, Linebacker, American","Speed, Power, Pass Rush","Dominant, Inspirational, Respected","Nike, Sprint",1.3M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),43.0,Hadley Engelhard,Nike
Robert Quinn,"NFL, Defensive End, American","Strength, Power, Versatility","Dominant, Reliable, Respected","Nike, Panini",2.4M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),34.0,Sean Kiernan,Nike
Robin van Persie,"Soccer, Forward, Dutch","Finishing, Technique, Leadership","Clinical, Elegant, Inspirational","Adidas, PepsiCo",10.6M,Soccer,Dutch,"Soccer fans, sports enthusiasts, casual followers",$100 million (approx.),41.0,Kees Vos,Adidas
Robinson Cano,"MLB, Second Baseman, Dominican Republic","Power, Hitting, Versatility","Consistent, Reliable, Productive","Wilson Sporting Goods, New Era, Franklin Sports, Alaska Air Group, Nike",1.3M,Baseball,Dominican Republic,"Baseball fans, sports enthusiasts",$100 million (approx.),42.0,"Jay-Z, Brodie Van Wagenen","Nike, Wilson Sporting Goods, New Era, Franklin Sports"
Roger Federer,"Tennis, Player, Swiss","Skill, Consistency, Charisma","Dominant, Iconic, Inspirational","Barilla, Credit Suisse Group (ADS), JURA, Lindt & Sprungli, LVMH Moët Hennessy Louis Vuitton, Mercedes-Benz, NetJets, On, RIMOWA, Rolex, Sunrise Communications AG, Switzerland Tourism, Uniqlo, Wilson Sporting Goods",23.7M,Tennis,Swiss,"Tennis fans, sports enthusiasts",$1 billion (approx.),43.0,Tony Godsick,"Uniqlo, Wilson Sporting Goods, Mercedes-Benz"
Rolando McClain,"NFL, Linebacker, American","Speed, Athleticism, Versatility","Reliable, Respected, Productive",Nike,1.3M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),43.0,Unknown,Nike
Ronaldinho,"Soccer, Forward, Brazilian","Skill, Flair, Entertainment","Exciting, Creative, Iconic",Nike,10.6M,Soccer,Brazilian,"Soccer fans, sports enthusiasts, casual followers",$100 million (approx.),44.0,Unknown,Nike
